input_file,input_size_bytes,protocol,window,impairment_path,probability,elapsed_ms,frames_sent,retransmissions,acks_received,timeouts,unique_payload_bytes,transmitted_frame_bytes,efficiency,goodput_bytes_per_second
tiny.txt,47,go-back-n,8,data-error,0.4,649.055,7,5,2,3,47,441,0.106576,72.413
tiny.txt,47,go-back-n,8,data-error,0.5,380.647,6,4,2,3,47,378,0.124339,123.474
tiny.txt,47,go-back-n,8,data-loss,0.1,0.296745,2,0,2,0,47,126,0.373016,158385.145
tiny.txt,47,go-back-n,8,data-loss,0.2,1.34211,2,0,2,0,47,126,0.373016,35019.484
tiny.txt,47,go-back-n,8,data-loss,0.3,25.4949,3,1,2,1,47,189,0.248677,1843.506
tiny.txt,47,go-back-n,8,data-loss,0.4,26.0792,3,1,2,1,47,189,0.248677,1802.203
tiny.txt,47,go-back-n,8,data-loss,0.5,22.2999,3,1,2,1,47,189,0.248677,2107.633
tiny.txt,47,go-back-n,8,ack-error,0.1,1.58593,2,0,2,0,47,126,0.373016,29635.608
tiny.txt,47,go-back-n,8,ack-error,0.2,0.997,2,0,2,0,47,126,0.373016,47141.424
tiny.txt,47,go-back-n,8,ack-error,0.3,0.466017,2,0,1,0,47,126,0.373016,100854.69
tiny.txt,47,go-back-n,8,ack-error,0.4,0.268317,2,0,2,0,47,126,0.373016,175165.942
tiny.txt,47,go-back-n,8,ack-error,0.5,320.024,4,2,1,1,47,252,0.186508,146.864
tiny.txt,47,go-back-n,8,ack-loss,0.1,0.565403,2,0,1,0,47,126,0.373016,83126.549
tiny.txt,47,go-back-n,8,ack-loss,0.2,0.520589,2,0,2,0,47,126,0.373016,90282.353
tiny.txt,47,go-back-n,8,ack-loss,0.3,0.325835,2,0,2,0,47,126,0.373016,144244.786
tiny.txt,47,go-back-n,8,ack-loss,0.4,1.66335,2,0,2,0,47,126,0.373016,28256.23
tiny.txt,47,go-back-n,8,ack-loss,0.5,0.279157,2,0,1,0,47,126,0.373016,168364.039
tiny.txt,47,selective-repeat,8,baseline,0.0,0.654072,2,0,2,0,47,126,0.373016,71857.533
tiny.txt,47,selective-repeat,8,data-error,0.1,1.61003,2,0,2,0,47,126,0.373016,29192.003
tiny.txt,47,selective-repeat,8,data-error,0.2,26.2986,3,1,2,1,47,189,0.248677,1787.167
tiny.txt,47,selective-repeat,8,data-error,0.3,22.3658,3,1,2,1,47,189,0.248677,2101.423
tiny.txt,47,selective-repeat,8,data-error,0.4,663.335,7,5,2,3,47,441,0.106576,70.854
tiny.txt,47,selective-repeat,8,data-error,0.5,25.6325,3,1,2,1,47,189,0.248677,1833.61
tiny.txt,47,selective-repeat,8,data-loss,0.1,0.340998,2,0,2,0,47,126,0.373016,137830.72
tiny.txt,47,selective-repeat,8,data-loss,0.2,1.40398,2,0,2,0,47,126,0.373016,33476.26
tiny.txt,47,selective-repeat,8,data-loss,0.3,27.8278,3,1,2,1,47,189,0.248677,1688.959
tiny.txt,47,selective-repeat,8,data-loss,0.4,23.1074,3,1,2,1,47,189,0.248677,2033.98
tiny.txt,47,selective-repeat,8,data-loss,0.5,26.2528,3,1,2,1,47,189,0.248677,1790.285
tiny.txt,47,selective-repeat,8,ack-error,0.1,0.299756,2,0,2,0,47,126,0.373016,156794.193
tiny.txt,47,selective-repeat,8,ack-error,0.2,0.883869,2,0,2,0,47,126,0.373016,53175.301
tiny.txt,47,selective-repeat,8,ack-error,0.3,23.4049,3,1,2,1,47,189,0.248677,2008.127
tiny.txt,47,selective-repeat,8,ack-error,0.4,0.303967,2,0,2,0,47,126,0.373016,154622.048
tiny.txt,47,selective-repeat,8,ack-error,0.5,423.2,8,6,2,5,47,504,0.093254,111.059
tiny.txt,47,selective-repeat,8,ack-loss,0.1,23.738,3,1,2,1,47,189,0.248677,1979.948
tiny.txt,47,selective-repeat,8,ack-loss,0.2,1.41715,2,0,2,0,47,126,0.373016,33165.155
tiny.txt,47,selective-repeat,8,ack-loss,0.3,0.32257,2,0,2,0,47,126,0.373016,145704.808
tiny.txt,47,selective-repeat,8,ack-loss,0.4,1.35857,2,0,2,0,47,126,0.373016,34595.199
tiny.txt,47,selective-repeat,8,ack-loss,0.5,23.2584,3,1,2,1,47,189,0.248677,2020.775
